Dataset,Classifier,AUC,AUC,F1,F1,LogLoss,LogLoss,Accuracy,Accuracy,Runtime,Runtime
,,mean,std,mean,std,mean,std,mean,std,mean,std
!ar4.csv,MonteCarloRandomForest_Fix_Prob,0.8315359477124182,0.09757412831956222,0.7417999576823107,0.06547056623246872,0.39768788951796946,0.1256066144545368,0.8692640692640692,0.03921872456225692,0.630319881439209,0.07322711351553264
!ar4.csv,MonteCarloRandomForest_Distance_Prob,0.809640522875817,0.11034403373009462,0.6958536817360347,0.06272157825096518,0.4088085046509817,0.13995332079153122,0.8597402597402597,0.033859068741578305,5.690569925308227,0.4072979092962664
!ar4.csv,MonteCarloRandomForest_Depth_Prob,0.8326797385620915,0.12590105204916682,0.7155722261914212,0.0866293689086407,0.4105649236260057,0.10744098813197009,0.8601731601731603,0.04559861727526083,0.7210619449615479,0.058094501171244886
!ar4.csv,RandomForest,0.8449346405228757,0.1369450186099874,0.6674050132873662,0.14051143475371797,1.5976109005763561,2.1872835352228988,0.8415584415584416,0.05120774810894647,0.02075352668762207,0.006596146354036085
!ar4.csv,MonteCarloRandomForest_Bayes_Prob,0.8269607843137254,0.1260891187526846,0.6863530069722021,0.07211348590588793,0.6924791008596984,0.8233436493393576,0.8506493506493505,0.03835507607504187,6.9932502746582035,0.5675227083645592
!ar4.csv,MonteCarloRandomForest_Agreement_Prob,0.8250816993464053,0.11741293311351142,0.7155722261914212,0.0866293689086407,0.7044853595563723,0.8689381083465273,0.8601731601731603,0.04559861727526083,2.8371503829956053,0.3051958614424134
!bodyfat.csv,FeatureSqueezing_ZooAttack,0.7233374358974359,0.12238427309551539,0.37484240905293537,0.08557060267866229,4.0874148364693745,5.926029854097937,0.5275294117647059,0.045653358503372425,0.001154041290283203,0.0008648983296332843
!bodyfat.csv,MonteCarloRandomForest_Agreement_Prob_ZooAttack,0.3675646153846154,0.12971831836075884,0.22891204023292291,0.09318665989808313,1.4081364146159518,0.4362141645786158,0.23466666666666666,0.09211872385617607,5.6417834758758545,0.2405691876255684
!bodyfat.csv,MonteCarloRandomForest_Confidence_Prob_ZooAttack,0.1974602564102564,0.06814439310732626,0.2139383955839233,0.06922743469114681,1.22823984648385,0.13369164190918878,0.2223529411764706,0.06995852014273403,13.3089204788208,0.5064427938112628
!bodyfat.csv,MonteCarloRandomForest_Depth_Prob_ZooAttack,0.35144846153846154,0.08195339433602045,0.2114629105095628,0.07094448482310459,1.1070200262439296,0.09753826912793907,0.21850980392156863,0.06831829524797992,1.2712027549743652,0.06193375175834767
!bodyfat.csv,MonteCarloRandomForest_Distance_Prob_ZooAttack,0.19358871794871796,0.07063329032058585,0.18570509276242397,0.03726981342470433,1.2856973933641762,0.06707678057618253,0.19466666666666668,0.044362804679842986,11.411967420578003,0.4366344821937358
!bodyfat.csv,MonteCarloRandomForest_Fix_Prob_ZooAttack,0.32859897435897434,0.08067200940788966,0.20236294625883353,0.05558121355068447,1.1674508565308246,0.07617455251067431,0.2104313725490196,0.05444176879866185,1.1192996025085449,0.05722086198421461
!bodyfat.csv,FeatureSqueezing,0.9966092307692307,0.007143181463473943,0.9597600532416681,0.04737970712490867,0.16546592961246348,0.054126903446843205,0.9603137254901961,0.046573807761405815,0.009488344192504883,0.0004900243104418065
!bodyfat.csv,RandomForest,0.9966092307692307,0.007143181463473943,0.9597600532416681,0.04737970712490867,0.16546592961246348,0.054126903446843205,0.9603137254901961,0.046573807761405815,0.01126866340637207,0.003749390342294737
!bodyfat.csv,MonteCarloRandomForest_Distance_Prob,0.9981292307692307,0.0017085098528131792,0.9601761364888098,0.03982438720449909,0.1979480749154277,0.04088954360083342,0.9604705882352942,0.039316928137116416,11.750838994979858,0.8561474655794662
!bodyfat.csv,MonteCarloRandomForest_Depth_Prob,0.9996923076923077,0.0006880209161537783,0.9960723912206392,0.00878240021967573,0.19202297270053456,0.01548818026610457,0.996078431372549,0.008768894029410956,1.3777246475219727,0.04263128832737967
!bodyfat.csv,MonteCarloRandomForest_Confidence_Prob,0.9966030769230769,0.005143231319157904,0.9763784828880754,0.0322191931331388,0.20828233381878736,0.03545148911881575,0.976392156862745,0.0322075162984207,13.880252933502197,0.44139785213824717
!bodyfat.csv,MonteCarloRandomForest_Bayes_Prob,0.9993846153846153,0.001376041832307509,0.992070790580383,0.010858305002330537,0.1284958963619312,0.02748323187467331,0.9920784313725489,0.010847940644404797,14.7075355052948,1.1115457439925234
!bodyfat.csv,MonteCarloRandomForest_Agreement_Prob,0.9996923076923077,0.0006880209161538041,0.9960723912206392,0.00878240021967573,0.11603648029906788,0.026942717492280804,0.996078431372549,0.008768894029410956,5.979452800750733,0.31525323757750606
